tick,angle
0,-89.989999999999995
1,-89.989999999999995
2,-80.201762880076686
3,-52.754424372159164
4,-39.937085864241709
5,-32.225747356324192
6,-27.828408848406742
7,-25.580408856194818
8,-24.584824874600397
9,-24.263865601377223
10,-24.26340595021799
11,-24.443370944870427
12,-24.690210933973713
13,-24.947155923677318
14,-25.23415599147117
15,-25.516782220510947
16,-25.808316858960001
17,-26.10694880017725
18,-26.38349282955221
19,-26.651840210181362
20,-26.926250369079689
21,-27.217544799537642
22,-27.470238959099106
23,-27.749633542360513
24,-27.998878710402952
25,-28.267019776120573
26,-28.519030095792335
27,-28.777834854430658
28,-29.016328428847828
29,-29.269387024267125
30,-29.527877938643496
31,-29.756666279584046
32,-29.998619879337895
33,-30.250612726583981
34,-30.482527435417381
35,-30.713256900516686
36,-30.933705349585281
37,-31.178788981274675
38,-31.403436225667335
39,-31.636587825846565
40,-31.829196619990196
41,-32.080227294453529
42,-32.278655971125275
43,-32.499469725973839
44,-32.713666071980171
45,-32.926252411314742
46,-33.160245443260663
47,-33.358670579823048
48,-33.547561319884139
49,-33.761958705250969
50,-33.964910684802241
51,-34.177471550306102
52,-34.365701344095079
53,-34.56366534172124
54,-34.771433447645322
55,-34.96807971002081
56,-35.151681761621091
57,-35.340320335721103
58,-35.530078760457336
59,-35.737042477256786
60,-35.908298581232977
61,-36.09893535148472
62,-36.298041808153371
63,-36.455707294204004
64,-36.64702101337874
65,-36.834071642982167
66,-37.006946937249459
67,-37.167733284272039
68,-37.363515362677852
69,-37.537375720247155
70,-37.700394413243991
71,-37.890648646501134
72,-38.040212377692534
73,-38.216155964737126
74,-38.386545840535327
75,-38.564444099941198
76,-38.705908213463651
77,-38.890990623738759
78,-39.04773846011129
79,-39.210193150006162
80,-39.373390104839963
81,-39.51235840883902
82,-39.665120440365349
83,-39.885691609248319
84,-39.994079977557348
85,-40.16928597550487
86,-40.318302100004132
87,-40.478112582929604
88,-40.593693106804217
89,-40.770010533630746
90,-40.926022593030304
91,-41.050677662607647
92,-41.20491447684411
93,-41.347661904988001
94,-41.539838765380395
95,-41.60635360546766
96,-41.787104560119325
97,-41.939979231674002
98,-42.103854598086109
99,-42.186596988888709
100,-42.339062110372915
101,-42.499095130154373
102,-42.635530870058069
103,-42.779194045713467
104,-42.906899686367481
105,-43.032453607036494
106,-43.212653113078986
107,-43.28428784352694
108,-43.431140862134178
109,-43.584989968061052
110,-43.611609381504351
111,-43.897771745574012
112,-43.899250593540685
113,-44.11482333173646
114,-44.254274866986485
115,-44.255401989299358
116,-44.501018660523123
117,-44.530962407469197
118,-44.766102083167347
119,-44.831347211825452
120,-44.85265937845827
121,-45.091066040080634
122,-45.219677381324033
123,-45.311706917823102
124,-45.479496797940016
125,-45.478549009743475
126,-45.721564029343796
127,-45.72548900930169
128,-45.729578182534027
129,-45.822469143661294
130,-46.398279913117655
131,-46.629733556577534
132,-46.633319724518351
133,-46.643506396169499
134,-46.645020851425656
135,-46.644227804645062
136,-46.643646414163179
137,-46.642670281641891
138,-46.648591357516104
139,-46.648092322543157
140,-46.648485520561962
141,-46.648189924297121
142,-46.648362278584599
143,-46.647504299180952
144,-46.646979882428958
145,-46.65188781381098
146,-83.30053307754865
147,-88.192921834960217
148,-0.063
149,-0.061000000000000006
150,-0.047000000000000007
151,-0.04200000000000001
152,-0.031000000000000003
153,-0.027
154,-0.015000000000000001
155,-0.016
156,-0.0060000000000000001
157,-0.0060000000000000001
158,-0.0030000000000000001
159,0.001
160,0.0050000000000000001
161,0.0050000000000000001
162,0.0050000000000000001
163,12.933338035227374
164,30.814676070454734
165,53.467014105682132
166,89.989999999999995
167,89.989999999999995
168,89.989999999999995
169,79.184249154686896
170,72.763968929569472
171,68.305006061859046
172,64.756093193652802
173,61.765073345003842
174,58.359378411255101
175,56.773722226997656
176,54.649115696483832
177,52.682051316712609
178,50.929331268019673
179,49.26527533938647
180,47.713164939622388
181,46.270840823062706
182,44.905404223273813
183,43.598990004896713
184,42.390591204370537
185,41.241921007749738
186,40.138302644634095
187,39.102580210841765
188,38.112046039842745
189,37.149380377017138
190,36.251601300287994
191,35.343022421715702
192,34.502217032979182
193,33.7079875618033
194,32.941339103993101
195,32.162456580393439
196,31.44668481553434
197,30.740511075182944
198,30.048549478022782
199,29.404527336932802
200,28.767272801694581
201,28.158703820252011
202,27.55481806202841
203,26.971683764350164
204,26.419431353667466
205,25.870245583297699
206,25.329358238811814
207,24.819041386007093
208,24.302600721508405
209,23.802369395909142
210,23.319701977819221
211,22.840968424115403
212,22.385548335457795
213,21.947824955130738
214,21.501179315003629
215,21.071984135760406
216,20.627597487100612
217,20.209356233782358
218,19.803569074725623
219,19.3965090806165
220,19.001405689680926
221,18.600435935719993
222,18.215714885920505
223,17.831284925814064
224,17.446103870301364
225,17.073031539087371
226,16.691814492929534
227,16.303068502800059
228,15.928258383587336
229,15.544674460999664
230,15.17740492771836
231,14.792303160425172
232,14.405948540428911
233,13.985599269500181
234,13.610134655608757
235,13.193983907393006
236,12.766037031578431
237,12.326531735964659
238,11.853907478437652
239,11.348613567257946
240,10.820851394563526
241,10.245219174111643
242,9.5912074039358757
243,8.8934553875073643
244,8.0656049186027445
245,7.1144269730448615
246,5.9715161952498645
247,4.5328006647023935
248,2.6475778676102757
249,0.047000008169459873
250,-0.001
251,-0.0069999999999999932
252,-0.01199999999999999
253,-0.01599999999999999
