tick,angle
0,-87.962550065145848
1,-87.936284389492528
2,-87.884865352147102
3,-87.804104830296225
4,-87.692316449531319
5,-60.438973361979635
6,-35.624098156792101
7,-35.272828196213396
8,-34.877449931574525
9,-34.585268324954583
10,-34.388518376043109
11,-34.239340098128814
12,-34.12478740836756
13,-34.041414322474168
14,-33.985384726261913
15,-33.946248483486706
16,-33.929473702942218
17,-33.924887879521201
18,-33.927266394592714
19,-33.931846433101661
20,-33.937501641557283
21,-33.944383674014389
22,-33.952227415905796
23,-33.962154235723006
24,-33.972618370550414
25,-33.987830142967091
26,-34.002796512149672
27,-34.027448585101759
28,-34.048680372516195
29,-34.082756061155017
30,-34.110876973755374
31,-34.149411540870048
32,-34.184352857665139
33,-34.223858718687609
34,-34.262755237387964
35,-34.302624047170092
36,-34.34206076237048
37,-34.381815154729821
38,-34.42231782974855
39,-34.463796516976146
40,-34.505916680246351
41,-34.54888064196679
42,-34.592901970628695
43,-34.638834213943817
44,-34.684405297147244
45,-34.73048374445068
46,-34.77763045877731
47,-34.822552968249973
48,-34.870758392054142
49,-34.919651273273573
50,-34.96762864524861
51,-35.011824430641923
52,-35.056949277021765
53,-35.103074126494
54,-35.149915603230454
55,-35.196043276201884
56,-35.24241989356252
57,-35.289332227264985
58,-35.337026330159205
59,-35.384048805289453
60,-35.432490267031071
61,-35.481523362861658
62,-35.530762868853621
63,-35.578887553434633
64,-35.624047493748471
65,-35.667489042457973
66,-35.711959141216838
67,-35.757178262781437
68,-35.80345814418132
69,-35.852382557118503
70,-35.90104598242921
71,-35.950866791426328
72,-35.997893407993836
73,-36.045186843900701
74,-36.094563776697932
75,-36.144486491900132
76,-36.196189968373552
77,-36.247854623596652
78,-36.299474696520981
79,-36.348930002719904
80,-36.399511429669523
81,-36.447208644844821
82,-36.493728274944232
83,-36.543275074478728
84,-36.592849148254537
85,-36.643864989672608
86,-36.694227229133361
87,-36.743872033043559
88,-36.793440489671234
89,-36.844905625747884
90,-36.901006917634774
91,-36.958343498801895
92,-37.011396185800471
93,-37.065868201801145
94,-37.11923504689419
95,-37.17262532191743
96,-37.22503949760042
97,-37.279213231545498
98,-37.332647406195214
99,-37.38779873589916
100,-37.442052515409571
101,-37.494219293260088
102,-37.547759170843783
103,-37.601960356707735
104,-37.656895026483383
105,-37.710013626110026
106,-37.768053666720157
107,-37.824545665311184
108,-37.881890565580797
109,-37.939387329783372
110,-37.99679535383212
111,-38.052967432557331
112,-38.109445784216689
113,-38.166601248740832
114,-38.224237478688906
115,-38.283387297228956
116,-38.341697721166135
117,-38.398153565254212
118,-38.458704942155663
119,-38.519131299243362
120,-38.578485963519817
121,-38.638304866338999
122,-38.698966646948094
123,-38.759913915920585
124,-38.82084289769179
125,-38.880973989588981
126,-38.940483065282208
127,-39.000295890426123
128,-39.061678536746768
129,-39.122705927364969
130,-39.183776055315164
131,-39.244251968102446
132,-39.305100350818371
133,-39.370021749921698
134,-39.432004078662679
135,-39.493631659342633
136,-39.55441466302976
137,-39.619436199758624
138,-39.68441945348733
139,-39.748622851972925
140,-39.812267521218608
141,-39.874348251513034
142,-39.936612397963287
143,-40.001431217293458
144,-40.067319167583229
145,-40.133890566382981
146,-40.200478360013754
147,-40.266279210412698
148,-40.329163502084718
149,-40.393060053671832
150,-40.457442175240281
151,-40.521620071187222
152,-40.585591475954551
153,-40.652916174999433
154,-40.719596666070068
155,-40.78910142547452
156,-40.85699842019487
157,-40.926900481122878
158,-40.993616361295551
159,-41.06031663981215
160,-41.126467717105086
161,-41.191907034305189
162,-41.257083684022099
163,-41.32602800578001
164,-41.394220965704122
165,-41.461825645447774
166,-41.530590818261096
167,-41.598598719250333
168,-41.667699734094576
169,-41.735395374035171
170,-41.805672635099761
171,-41.874074182274668
172,-41.940861098445367
173,-42.005947594599043
174,-42.073294680253227
175,-42.138979137590297
176,-42.20730528878758
177,-42.278057726825381
178,-42.347058906039734
179,-42.413694941320067
180,-42.479438486894992
181,-42.544393777534118
182,-42.609364461082535
183,-42.67403964003411
184,-42.737776824785854
185,-42.801219674654817
186,-42.864885871197984
187,-42.928690649366906
188,-42.99269945896944
189,-43.056254060588429
190,-43.119029016070378
191,-43.182185783969778
192,-43.245360855608055
193,-43.308275719188273
194,-43.370458010156284
195,-43.43268227715901
196,-43.492932244607857
197,-43.553320956946166
198,-43.613099495748671
199,-43.672687343863885
200,-43.733173555544376
201,-43.795269280595249
202,-43.857180807416682
203,-43.91993514779324
204,-43.9825910325508
205,-44.047261831681318
206,-44.110377922167508
207,-44.173508350980164
208,-44.236374083003852
209,-44.299060394863879
210,-44.362376734232207
211,-44.426448518561408
212,-44.492919586881435
213,-44.564334613679385
214,-44.642920337024691
215,-44.730206319432774
216,-44.828934053371079
217,-44.941949902907368
218,-45.07216710368818
219,-45.220899819009354
220,-45.389739939824238
221,-45.587919250808952
222,-46.005771912002082
223,-46.13772232117217
224,-46.044507859542776
225,-45.951293397913382
226,-45.858078936283981
227,-45.764864474654587
228,-45.671650013025193
229,-45.796455515133673
230,-45.922172800196527
231,-46.04880195591857
232,-46.176153009921393
233,-46.304081763960298
234,-46.432313868970724
235,-46.559774627572679
236,-46.685006577765947
237,-46.806566483940394
238,-46.922865898713397
239,-47.0329317105016
240,-47.134142012360172
241,-47.227933612337175
242,-47.30734631437803
243,-47.375967408656635
244,-47.417860084180951
245,-47.437009569292989
246,-47.421435313261981
247,-47.338467724738337
248,-47.242109592087282
249,-47.088707359693565
250,-43.945708094279624
251,-40.836538676206906
252,-34.700384012765277
253,-1.5849516364034983
254,-1.1881747955280084
255,-0.80799359051981678
256,-0.45923380628161403
257,-0.15672122771873448
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,21.185523859954721
267,43.773944895154152
268,79.603365974333272
269,79.6634024857361
270,79.704128948990544
271,79.718942590946824
272,79.700454439792054
273,79.611812617694895
274,74.643182520552159
275,69.127871674020454
276,65.341042872344886
277,62.135132294991891
278,59.321994511701845
279,56.829573144405209
280,54.516436299927229
281,52.346994700835481
282,50.53197292442816
283,48.775573221578021
284,47.146954329903508
285,45.749306880722123
286,44.318609816062654
287,43.175215145016942
288,41.999454175255401
289,40.857487544768375
290,39.795005228307296
291,38.702707132043194
292,37.679236853013258
293,36.663227965554697
294,35.671603458860069
295,34.734107194166938
296,33.779117501594797
297,32.957714176978385
298,32.129634003778733
299,31.312891429605479
300,30.548214421789201
301,29.843024805324969
302,29.11570809457297
303,28.411668197620429
304,27.725460584101079
305,27.072969210942716
306,26.410389565393572
307,25.737956951739136
308,25.135388413842225
309,24.521667877105244
310,23.936197535575616
311,23.352473902495099
312,22.76842934891604
313,22.219361286670775
314,21.67851966715887
315,21.151376316816336
316,20.631280975041101
317,20.101387620882143
318,19.584807661882213
319,19.001159086240225
320,18.468888038917495
321,17.893590988702677
322,17.303195604532107
323,16.671425597102299
324,16.038025503476721
325,15.494367616810637
326,14.945052946732506
327,14.397836223644852
328,13.904126538014092
329,13.441420957627747
330,12.974498372659363
331,12.470758280797989
332,11.972065850447866
333,11.367999190482632
334,10.533001946031929
335,9.7421973411332949
336,8.6680667496644421
337,7.2953785915419198
338,5.8437883379442539
339,4.1933071301537455
340,2.3927246688013586
341,0.97770311012234479
342,0.37336455502995891
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,-87.863033614698807
353,-87.899777330762404
354,-87.932280781557196
355,-87.956364838807417
356,-87.967848761142719
